,timepoint,infection_count,std_1,N_1,Missing_1,Seroprev,std_2,N_2,Missing_2
0,7.0,0.026,0.005981325217127594,500.0,1.0,0.0,0.001478041076856664,500.0,1.0
1,14.0,0.022,0.006176806036670321,500.0,1.0,0.002,0.0020245206943661437,500.0,1.0
2,21.0,0.016,0.006024033245549837,500.0,1.0,0.004,0.002528849166883719,500.0,1.0
3,28.0,0.018,0.005871021431229696,500.0,1.0,0.0,0.0029344126013222823,500.0,1.0
4,35.0,0.006,0.005999468563601374,500.0,1.0,0.004,0.0032157507677008073,500.0,1.0
5,42.0,0.024,0.0060012994725151345,500.0,1.0,0.01,0.0035065942303872232,500.0,1.0
6,49.0,0.016,0.006067154054740632,500.0,1.0,0.014,0.003747422509630772,500.0,1.0
7,56.0,0.012,0.006223280618383319,500.0,1.0,0.01,0.003994155311587507,500.0,1.0
8,63.0,0.018,0.006046770178685538,500.0,1.0,0.006,0.004246397313616759,500.0,1.0
9,70.0,0.022,0.006188023910680325,500.0,1.0,0.008,0.004471715655575606,500.0,1.0
10,77.0,0.026,0.006138753688663997,500.0,1.0,0.008,0.0046972059790972055,500.0,1.0
11,84.0,0.028,0.006159700676782775,500.0,1.0,0.018,0.004903139099094443,500.0,1.0
12,91.0,0.014,0.006102827308937405,500.0,1.0,0.004,0.005097391214310549,500.0,1.0
13,98.0,0.012,0.006258263952989533,500.0,1.0,0.012,0.005285932834069278,500.0,1.0
14,105.0,0.032,0.006344878891867831,500.0,1.0,0.014,0.005482100941227172,500.0,1.0
15,112.0,0.008,0.0064403173710538145,500.0,1.0,0.016,0.005664643848645485,500.0,1.0
16,119.0,0.022,0.006376626594380529,500.0,1.0,0.02,0.005846024780301334,500.0,1.0
17,126.0,0.014,0.006363167835739577,500.0,1.0,0.024,0.006027216412177962,500.0,1.0
18,133.0,0.016,0.006507475456991004,500.0,1.0,0.022,0.006202504167746608,500.0,1.0
19,140.0,0.028,0.0067014702377963635,500.0,1.0,0.018,0.006363090459771505,500.0,1.0
20,147.0,0.026,0.006728207405799131,500.0,1.0,0.026,0.00654815547495118,500.0,1.0
21,154.0,0.016,0.006817454916237517,500.0,1.0,0.028,0.0067156380491916225,500.0,1.0
22,161.0,0.024,0.006864660789280289,500.0,1.0,0.022,0.006893702937983313,500.0,1.0
23,168.0,0.014,0.006708557509916155,500.0,1.0,0.016,0.007064246032719228,500.0,1.0
24,175.0,0.026,0.00673882019168987,500.0,1.0,0.026,0.007217176376539436,500.0,1.0
25,182.0,0.014,0.006761552675210322,500.0,1.0,0.04,0.0073617178974091394,500.0,1.0
26,189.0,0.016,0.006500680210770364,500.0,1.0,0.024,0.007528109114835285,500.0,1.0
27,196.0,0.024,0.006374652822941593,500.0,1.0,0.034,0.007688665682509309,500.0,1.0
28,203.0,0.014,0.006430574814679538,500.0,1.0,0.032,0.007820839991364289,500.0,1.0
29,210.0,0.028,0.006435802981996905,500.0,1.0,0.016,0.007951720828502883,500.0,1.0
30,217.0,0.012,0.006293734310286613,500.0,1.0,0.022,0.008086718813763051,500.0,1.0
31,224.0,0.014,0.006196208039787552,500.0,1.0,0.036,0.008220060054808014,500.0,1.0
32,231.0,0.038,0.007010808201688085,500.0,1.0,0.03,0.008339612595337787,500.0,1.0
33,238.0,0.022,0.0068690639624307635,500.0,1.0,0.026,0.008481506993241605,500.0,1.0
34,245.0,0.026,0.007048302737661262,500.0,1.0,0.042,0.008608941999066672,500.0,1.0
35,252.0,0.032,0.006950470776332388,500.0,1.0,0.046,0.008746149575033172,500.0,1.0
36,259.0,0.038,0.007162933052709478,500.0,1.0,0.04,0.008870579210302081,500.0,1.0
37,266.0,0.028,0.006931343502816904,500.0,1.0,0.034,0.0090228385863636,500.0,1.0
38,273.0,0.032,0.006943859980604105,500.0,1.0,0.036,0.009143510914462314,500.0,1.0
39,280.0,0.028,0.007099032312821268,500.0,1.0,0.036,0.009257877270546158,500.0,1.0
40,287.0,0.02,0.007053547965799631,500.0,1.0,0.048,0.00939123314970768,500.0,1.0
41,294.0,0.024,0.007147970599414937,500.0,1.0,0.052,0.009510709375107526,500.0,1.0
42,301.0,0.032,0.007416456325542412,500.0,1.0,0.05,0.009623981105972958,500.0,1.0
43,308.0,0.028,0.007674965375295493,500.0,1.0,0.036,0.009735304488648178,500.0,1.0
44,315.0,0.034,0.007516172197022409,500.0,1.0,0.064,0.009875562370246603,500.0,1.0
45,322.0,0.024,0.007672931050170409,500.0,1.0,0.04,0.01000795227174184,500.0,1.0
46,329.0,0.02,0.007823575457073316,500.0,1.0,0.066,0.010139716580109722,500.0,1.0
47,336.0,0.028,0.007983782469051183,500.0,1.0,0.046,0.01026356013272672,500.0,1.0
48,343.0,0.04,0.008139100975722834,500.0,1.0,0.038,0.010391374357430322,500.0,1.0
49,350.0,0.03,0.00829324688275101,500.0,1.0,0.052,0.010524439296164789,500.0,1.0
50,357.0,0.04,0.008572598135165473,500.0,1.0,0.04,0.010652769503818894,500.0,1.0
51,364.0,0.054,0.00872777838804181,500.0,1.0,0.058,0.010788875989061869,500.0,1.0
52,371.0,0.044,0.008797364997961018,500.0,1.0,0.064,0.01094551815775977,500.0,1.0
53,378.0,0.03,0.008960718224946667,500.0,1.0,0.064,0.0110911795413986,500.0,1.0
54,385.0,0.038,0.009291983942249102,500.0,1.0,0.084,0.011229345329116175,500.0,1.0
55,392.0,0.038,0.009518563217648476,500.0,1.0,0.078,0.011383326984906395,500.0,1.0
56,399.0,0.064,0.00991807496249596,500.0,1.0,0.08,0.011541603003043568,500.0,1.0
