,timepoint,infection_count,std_1,N_1,Missing_1,Seroprev,std_2,N_2,Missing_2
0,7.0,0.004,0.0014049922702467513,500.0,1.0,0.002,0.0007576130918762573,500.0,1.0
1,14.0,0.002,0.0016611057351416632,500.0,1.0,0.002,0.0011887710908469642,500.0,1.0
2,21.0,0.004,0.0020048152763572336,500.0,1.0,0.0,0.001571427714103432,500.0,1.0
3,28.0,0.002,0.002509067951508412,500.0,1.0,0.002,0.002044600495933967,500.0,1.0
4,35.0,0.002,0.003057279312246194,500.0,1.0,0.004,0.002644767412549535,500.0,1.0
5,42.0,0.012,0.0037430215919920006,500.0,1.0,0.006,0.0033351197433352116,500.0,1.0
6,49.0,0.014,0.004653296675131743,500.0,1.0,0.01,0.004141887797587124,500.0,1.0
7,56.0,0.014,0.005689694053694674,500.0,1.0,0.01,0.005139544888997446,500.0,1.0
8,63.0,0.014,0.006890195226358864,500.0,1.0,0.022,0.00633563236183694,500.0,1.0
9,70.0,0.024,0.00835349898752645,500.0,1.0,0.04,0.007725266474757959,500.0,1.0
10,77.0,0.06,0.009906056768516771,500.0,1.0,0.036,0.00942263087469162,500.0,1.0
11,84.0,0.078,0.011703167196430208,500.0,1.0,0.078,0.011273702200063926,500.0,1.0
12,91.0,0.096,0.013502718064484566,500.0,1.0,0.098,0.013314748134951353,500.0,1.0
13,98.0,0.142,0.015239849861009413,500.0,1.0,0.15,0.015504259291658386,500.0,1.0
14,105.0,0.174,0.01670637672467702,500.0,1.0,0.178,0.01766551413178009,500.0,1.0
15,112.0,0.218,0.01786736141142801,500.0,1.0,0.276,0.019543936468240635,500.0,1.0
16,119.0,0.226,0.01862799249240351,500.0,1.0,0.338,0.021044753877419595,500.0,1.0
17,126.0,0.242,0.018899400297944312,500.0,1.0,0.414,0.022016245827190164,500.0,1.0
18,133.0,0.224,0.01884877227715206,500.0,1.0,0.496,0.022358692003072507,500.0,1.0
19,140.0,0.2,0.01839235398608127,500.0,1.0,0.564,0.02212845193938961,500.0,1.0
20,147.0,0.198,0.01764897872860171,500.0,1.0,0.61,0.021422025329188587,500.0,1.0
21,154.0,0.15,0.016691366769434297,500.0,1.0,0.708,0.020390007973570726,500.0,1.0
22,161.0,0.144,0.015517114692514603,500.0,1.0,0.764,0.019127518284000534,500.0,1.0
23,168.0,0.106,0.01415604088874357,500.0,1.0,0.836,0.017746700016213028,500.0,1.0
24,175.0,0.088,0.012788967489264728,500.0,1.0,0.826,0.016392797483457962,500.0,1.0
25,182.0,0.052,0.01155496928420523,500.0,1.0,0.828,0.015200599851580591,500.0,1.0
26,189.0,0.054,0.01033549664108336,500.0,1.0,0.878,0.014068312799172549,500.0,1.0
27,196.0,0.044,0.009217596625582337,500.0,1.0,0.906,0.013065846992657035,500.0,1.0
28,203.0,0.028,0.008222598934029312,500.0,1.0,0.922,0.012205205022721658,500.0,1.0
29,210.0,0.026,0.00732937233483557,500.0,1.0,0.928,0.011452094906843945,500.0,1.0
30,217.0,0.028,0.00667672706850892,500.0,1.0,0.934,0.010837931267725677,500.0,1.0
31,224.0,0.02,0.006359407830531529,500.0,1.0,0.946,0.010352025181475624,500.0,1.0
32,231.0,0.01,0.006422318922980172,500.0,1.0,0.936,0.009971623716588466,500.0,1.0
33,238.0,0.028,0.006819146819110567,500.0,1.0,0.964,0.009642500533716443,500.0,1.0
34,245.0,0.036,0.007748028233992497,500.0,1.0,0.936,0.0093831035990173,500.0,1.0
35,252.0,0.032,0.009124364199842716,500.0,1.0,0.962,0.009165964602131631,500.0,1.0
36,259.0,0.048,0.010925100020942293,500.0,1.0,0.954,0.008978096211081966,500.0,1.0
37,266.0,0.104,0.013010761438713181,500.0,1.0,0.974,0.00881634055453954,500.0,1.0
38,273.0,0.126,0.015184305792775198,500.0,1.0,0.962,0.008616869637511203,500.0,1.0
39,280.0,0.196,0.017271638294555882,500.0,1.0,0.966,0.008388072954261971,500.0,1.0
40,287.0,0.236,0.01898494270987058,500.0,1.0,0.978,0.008077310038770703,500.0,1.0
41,294.0,0.258,0.020184674495650805,500.0,1.0,0.966,0.007729419593281554,500.0,1.0
42,301.0,0.348,0.0208599152525503,500.0,1.0,0.978,0.007347125778816442,500.0,1.0
43,308.0,0.342,0.021072112150047603,500.0,1.0,0.968,0.006875787923530158,500.0,1.0
44,315.0,0.31,0.020916575238300438,500.0,1.0,0.98,0.00637548058504838,500.0,1.0
45,322.0,0.258,0.020492624974648602,500.0,1.0,0.984,0.005828113368975532,500.0,1.0
46,329.0,0.268,0.019746494028609375,500.0,1.0,0.982,0.0053035530542005875,500.0,1.0
47,336.0,0.222,0.018751856146864043,500.0,1.0,0.988,0.00479418122968704,500.0,1.0
48,343.0,0.202,0.01754984343671046,500.0,1.0,0.984,0.004313301410435305,500.0,1.0
49,350.0,0.148,0.01621064270017215,500.0,1.0,0.994,0.0038885148514420384,500.0,1.0
50,357.0,0.12,0.01484172612726081,500.0,1.0,0.994,0.0034742676104641476,500.0,1.0
51,364.0,0.122,0.013433530675375163,500.0,1.0,0.998,0.0030986553700944786,500.0,1.0
52,371.0,0.07,0.01207666642160905,500.0,1.0,0.992,0.002751293673166008,500.0,1.0
53,378.0,0.05,0.01080542998312737,500.0,1.0,0.992,0.0024987559855121143,500.0,1.0
54,385.0,0.056,0.00966312571843581,500.0,1.0,0.998,0.002244390248570943,500.0,1.0
55,392.0,0.032,0.008614625162526163,500.0,1.0,0.998,0.0020110380148543956,500.0,1.0
56,399.0,0.022,0.007656532838673796,500.0,1.0,0.998,0.0018177837032497045,500.0,1.0
