,timepoint,infection_count,std_1,N_1,Missing_1,Seroprev,std_2,N_2,Missing_2
0,14.0,0.002,0.0016611057351416632,500.0,1.0,-1.0,-1.0,500.0,0.0
1,35.0,-1.0,-1.0,500.0,0.0,0.004,0.002644767412549535,500.0,1.0
2,105.0,-1.0,-1.0,500.0,0.0,0.178,0.01766551413178009,500.0,1.0
3,112.0,-1.0,-1.0,500.0,0.0,0.276,0.019543936468240635,500.0,1.0
4,140.0,0.2,0.01839235398608127,500.0,1.0,0.564,0.02212845193938961,500.0,1.0
5,147.0,0.198,0.01764897872860171,500.0,1.0,-1.0,-1.0,500.0,0.0
6,196.0,-1.0,-1.0,500.0,0.0,0.906,0.013065846992657035,500.0,1.0
7,203.0,0.028,0.008222598934029312,500.0,1.0,-1.0,-1.0,500.0,0.0
8,224.0,-1.0,-1.0,500.0,0.0,0.946,0.010352025181475624,500.0,1.0
9,252.0,0.032,0.009124364199842716,500.0,1.0,-1.0,-1.0,500.0,0.0
10,294.0,-1.0,-1.0,500.0,0.0,0.966,0.007729419593281554,500.0,1.0
11,315.0,-1.0,-1.0,500.0,0.0,0.98,0.00637548058504838,500.0,1.0
12,364.0,0.122,0.013433530675375163,500.0,1.0,-1.0,-1.0,500.0,0.0
13,378.0,0.05,0.01080542998312737,500.0,1.0,-1.0,-1.0,500.0,0.0
14,385.0,0.056,0.00966312571843581,500.0,1.0,-1.0,-1.0,500.0,0.0
