,timepoint,infection_count,Std,N,Missing,Seroprev,Std,N,Missing
15,112,0.028,0.00770255570180995,500,1,-1,0.00853258516239548,500,0
18,133,0.022,0.0085037485508996,500,1,0.046,0.00939659849482927,500,1
23,168,0.058,0.0104502786046568,500,1,-1,0.0130195278113932,500,0
29,210,0.088,0.0123742406501057,500,1,0.134,0.0153327071892441,500,1
38,273,-1,0.0155197651502205,500,0,0.264,0.019407062827957,500,1
39,280,0.106,0.0145166913919224,500,1,-1,0.0207948110021665,500,0
40,287,0.148,0.0146256028114658,500,1,-1,0.0210755522493391,500,0
45,322,0.158,0.0160872089943145,500,1,0.356,0.0213902798266206,500,1
46,329,0.144,0.0163721064418826,500,1,-1,0.0221870400320438,500,0
51,364,0.212,0.0185414231050008,500,1,-1,0.0223179198849468,500,0
54,385,-1,0.0207821152239755,500,0,0.54,0.0223594457403269,500,1
55,392,0.304,0.0201168900541135,500,1,-1,0.021816847889911,500,0
