,timepoint,infection_count,std_1,N_1,Missing_1,Seroprev,std_2,N_2,Missing_2
0,21.0,0.006,0.004855175969480277,500.0,1.0,0.008,0.002955577962560851,500.0,1.0
1,35.0,-1.0,-1.0,500.0,0.0,0.004,0.004381856805329222,500.0,1.0
2,56.0,-1.0,-1.0,500.0,0.0,0.028,0.006759518533884469,500.0,1.0
3,98.0,0.114,0.014334773226066048,500.0,1.0,-1.0,-1.0,500.0,0.0
4,105.0,0.112,0.015217298961895581,500.0,1.0,-1.0,-1.0,500.0,0.0
5,154.0,0.178,0.017529958047314165,500.0,1.0,-1.0,-1.0,500.0,0.0
6,168.0,-1.0,-1.0,500.0,0.0,0.388,0.02191588092168386,500.0,1.0
7,182.0,0.104,0.014680174510807015,500.0,1.0,-1.0,-1.0,500.0,0.0
8,217.0,0.044,0.009989214522025527,500.0,1.0,-1.0,-1.0,500.0,0.0
9,231.0,-1.0,-1.0,500.0,0.0,0.56,0.02228574194710776,500.0,1.0
10,245.0,0.02,0.0065202943271920576,500.0,1.0,-1.0,-1.0,500.0,0.0
11,252.0,-1.0,-1.0,500.0,0.0,0.57,0.022228928957409484,500.0,1.0
12,294.0,0.008,0.0030870834543715846,500.0,1.0,-1.0,-1.0,500.0,0.0
13,301.0,-1.0,-1.0,500.0,0.0,0.532,0.022167324851446266,500.0,1.0
14,392.0,-1.0,-1.0,500.0,0.0,0.626,0.021793725766999252,500.0,1.0
