,timepoint,infection_count,std_1,N_1,Missing_1,Seroprev,std_2,N_2,Missing_2
0,7.0,0.02,0.005370677266371532,500.0,1.0,0.002,0.0028131908882468876,500.0,1.0
1,14.0,0.026,0.006526955798167102,500.0,1.0,0.006,0.0038395796652572083,500.0,1.0
2,21.0,0.026,0.006941746658843528,500.0,1.0,0.008,0.004869418186689718,500.0,1.0
3,28.0,0.034,0.007568454256548861,500.0,1.0,0.014,0.00585950105374538,500.0,1.0
4,35.0,0.026,0.00853820425454532,500.0,1.0,0.02,0.006889254699035189,500.0,1.0
5,42.0,0.054,0.009384636754127422,500.0,1.0,0.042,0.007999815963963439,500.0,1.0
6,49.0,0.054,0.010034619726720994,500.0,1.0,0.032,0.009128954712285576,500.0,1.0
7,56.0,0.062,0.011200747931954391,500.0,1.0,0.05,0.010257523217239176,500.0,1.0
8,63.0,0.084,0.011546773682585689,500.0,1.0,0.07,0.011427336506932026,500.0,1.0
9,70.0,0.086,0.012209406729892989,500.0,1.0,0.098,0.012523735273172769,500.0,1.0
10,77.0,0.106,0.012551700232477989,500.0,1.0,0.104,0.013629037091046686,500.0,1.0
11,84.0,0.094,0.013380563339546743,500.0,1.0,0.114,0.014681142228347214,500.0,1.0
12,91.0,0.1,0.013219363956218177,500.0,1.0,0.156,0.015656890346510438,500.0,1.0
13,98.0,0.07,0.012975812244084464,500.0,1.0,0.16,0.016541400467431338,500.0,1.0
14,105.0,0.09,0.013083183683053008,500.0,1.0,0.214,0.017308844855451134,500.0,1.0
15,112.0,0.086,0.012981996783381087,500.0,1.0,0.196,0.017965808130921194,500.0,1.0
16,119.0,0.114,0.012574267582231735,500.0,1.0,0.204,0.01856371454196712,500.0,1.0
17,126.0,0.07,0.012297204635162571,500.0,1.0,0.236,0.019058303366975952,500.0,1.0
18,133.0,0.078,0.011494614182563468,500.0,1.0,0.252,0.019476466773072236,500.0,1.0
19,140.0,0.06,0.010998210776044742,500.0,1.0,0.262,0.019803963087325408,500.0,1.0
20,147.0,0.038,0.009979781306829565,500.0,1.0,0.316,0.02007562324826455,500.0,1.0
21,154.0,0.04,0.008984924080700686,500.0,1.0,0.292,0.020291677503977413,500.0,1.0
22,161.0,0.038,0.008585659096262884,500.0,1.0,0.268,0.020453537977749448,500.0,1.0
23,168.0,0.038,0.00803154578035763,500.0,1.0,0.312,0.02058992316363555,500.0,1.0
24,175.0,0.024,0.0072188852409410375,500.0,1.0,0.298,0.0207054672614243,500.0,1.0
25,182.0,0.01,0.006348880376731106,500.0,1.0,0.318,0.02079228609852287,500.0,1.0
26,189.0,0.02,0.006001932235448737,500.0,1.0,0.33,0.02085960101952183,500.0,1.0
27,196.0,0.016,0.005630333223238262,500.0,1.0,0.326,0.02091978828396695,500.0,1.0
28,203.0,0.014,0.0044203856751577906,500.0,1.0,0.31,0.0209647934590312,500.0,1.0
29,210.0,0.008,0.004395311065357532,500.0,1.0,0.3,0.02099691296503685,500.0,1.0
30,217.0,0.01,0.0032910235239327606,500.0,1.0,0.33,0.02102676015548276,500.0,1.0
31,224.0,0.016,0.0035391473103642697,500.0,1.0,0.374,0.02104684601536805,500.0,1.0
32,231.0,0.002,0.0027801161851675566,500.0,1.0,0.36,0.02106407988897148,500.0,1.0
33,238.0,0.004,0.002994456845467422,500.0,1.0,0.36,0.021078492956258917,500.0,1.0
34,245.0,0.0,0.002460993225579997,500.0,1.0,0.344,0.021090980097139434,500.0,1.0
35,252.0,0.004,0.0025287693250236635,500.0,1.0,0.366,0.021101704582496186,500.0,1.0
36,259.0,0.0,0.0020572589023295624,500.0,1.0,0.328,0.02111162651812639,500.0,1.0
37,266.0,0.0,0.0019053020240862952,500.0,1.0,0.312,0.021117924594480343,500.0,1.0
38,273.0,0.006,0.002053933255679488,500.0,1.0,0.33,0.02112357547042134,500.0,1.0
39,280.0,0.0,0.0016516991565101097,500.0,1.0,0.344,0.021128162970076927,500.0,1.0
40,287.0,0.0,0.0010399272397930725,500.0,1.0,0.34,0.021131820637450817,500.0,1.0
41,294.0,0.0,0.0009529530959786598,500.0,1.0,0.322,0.021133645450153612,500.0,1.0
42,301.0,0.004,0.0009519243255313394,500.0,1.0,0.274,0.021135652995222968,500.0,1.0
43,308.0,0.004,0.0012098130401240516,500.0,1.0,0.356,0.02113674974719649,500.0,1.0
44,315.0,0.0,0.0006607341370968535,500.0,1.0,0.374,0.02113837289121881,500.0,1.0
45,322.0,0.0,0.0006137148736616322,500.0,1.0,0.32,0.021138896222841107,500.0,1.0
46,329.0,0.0,0.00025321636380124484,500.0,1.0,0.39,0.021139464277478193,500.0,1.0
47,336.0,0.0,5.939841231947759e-05,500.0,1.0,0.33,0.021139558208775368,500.0,1.0
