,timepoint,infection count,Std,N,Missing,seroprev,std,N,Missing
0,10,0.014,0.00565035319669906,500,1,0.024,0.0066434672862482,500,1
1,20,0.03,0.00717949845279444,500,1,0.038,0.00910136420363973,500,1
2,30,0.054,0.00875449164234368,500,1,0.056,0.0116831478400443,500,1
3,40,0.062,0.0104855987984662,500,1,0.142,0.0143562066180956,500,1
4,50,0.092,0.0123664222332564,500,1,0.208,0.017061020906866,500,1
5,60,0.124,0.0141072366819083,500,1,0.266,0.0194831697506983,500,1
6,70,0.104,0.0153948175740551,500,1,0.344,0.0212116655387867,500,1
7,80,0.176,0.0161085253252097,500,1,0.434,0.0221492624735321,500,1
8,90,0.154,0.0162472932969323,500,1,0.532,0.0223521500014707,500,1
9,100,0.138,0.0159267529216826,500,1,0.574,0.0220517965031408,500,1
