,timepoint,infection_count,std_1,N_1,Missing_1,Seroprev,std_2,N_2,Missing_2
0,10.0,0.086,0.013085262710159857,500.0,1.0,0.136,0.01503466305758201,500.0,1.0
1,20.0,0.354,0.02127165828789472,500.0,1.0,0.582,0.022071224797599237,500.0,1.0
2,30.0,0.328,0.020774374097015318,500.0,1.0,0.866,0.014808190332949464,500.0,1.0
3,40.0,0.202,0.016665700666289262,500.0,1.0,0.928,0.010371619666793947,500.0,1.0
4,50.0,0.1,0.012050309686274041,500.0,1.0,0.952,0.008612254307508897,500.0,1.0
5,60.0,0.03,0.008316302942281384,500.0,1.0,0.978,0.007903239192967369,500.0,1.0
6,70.0,0.022,0.005639678009851096,500.0,1.0,0.968,0.007600576147188907,500.0,1.0
7,80.0,0.012,0.003765816627445441,500.0,1.0,0.972,0.007448305261650109,500.0,1.0
8,90.0,0.004,0.002478228361833969,500.0,1.0,0.966,0.007392268433625844,500.0,1.0
9,100.0,0.0,0.0016174143159249804,500.0,1.0,0.97,0.007368137185133394,500.0,1.0
