,timepoint,infection_count,Std,N,Missing,Seroprev,Std,N,Missing
0,1.0,0.008,0.005146868624742572,500.0,1.0,0.006,0.005338391088356814,500.0,1.0
1,2.0,0.018,0.005917958603222473,500.0,1.0,0.022,0.006315484551593743,500.0,1.0
2,3.0,0.026,0.00676543974447684,500.0,1.0,0.028,0.007404854765168572,500.0,1.0
3,4.0,0.046,0.007697144303268702,500.0,1.0,0.034,0.008558234509428931,500.0,1.0
4,5.0,0.026,0.008840269161881601,500.0,1.0,0.048,0.009890932791890156,500.0,1.0
5,6.0,0.046,0.010001976346745056,500.0,1.0,0.076,0.011277074758958484,500.0,1.0
6,7.0,0.058,0.011255764276306047,500.0,1.0,0.09,0.012769754270157653,500.0,1.0
7,8.0,0.076,0.012625308213027028,500.0,1.0,0.15,0.014348272695611956,500.0,1.0
8,9.0,0.136,0.013988689113626478,500.0,1.0,0.136,0.015927698258015193,500.0,1.0
9,10.0,0.134,0.015393518832069221,500.0,1.0,0.184,0.017501185526280327,500.0,1.0
10,11.0,0.188,0.01675381164702786,500.0,1.0,0.244,0.01897351130199426,500.0,1.0
11,12.0,0.18,0.01798512780507639,500.0,1.0,0.264,0.020259072880641153,500.0,1.0
12,13.0,0.244,0.019105585162945686,500.0,1.0,0.36,0.021302919345036513,500.0,1.0
13,14.0,0.268,0.02000468240610731,500.0,1.0,0.4,0.022001137981168522,500.0,1.0
14,15.0,0.29,0.02069275949521887,500.0,1.0,0.466,0.022328398411833726,500.0,1.0
15,16.0,0.31,0.0212145876331234,500.0,1.0,0.564,0.0222983545263854,500.0,1.0
16,17.0,0.364,0.021545703451215596,500.0,1.0,0.614,0.021935395084584735,500.0,1.0
17,18.0,0.396,0.021746840333509654,500.0,1.0,0.682,0.02130250241531492,500.0,1.0
18,19.0,0.364,0.02186457952522701,500.0,1.0,0.69,0.020454501921882407,500.0,1.0
19,20.0,0.39,0.02189371670836074,500.0,1.0,0.726,0.01948869392886047,500.0,1.0
20,21.0,0.442,0.021870534338108497,500.0,1.0,0.78,0.01844765845785177,500.0,1.0
21,22.0,0.404,0.021788879512268898,500.0,1.0,0.798,0.017407952007302243,500.0,1.0
22,23.0,0.354,0.02165036937448096,500.0,1.0,0.838,0.016408964199953455,500.0,1.0
23,24.0,0.36,0.02144828386713665,500.0,1.0,0.868,0.015484524439239554,500.0,1.0
24,25.0,0.32,0.021207604241104037,500.0,1.0,0.878,0.014615903271349416,500.0,1.0
25,26.0,0.326,0.020920655675509287,500.0,1.0,0.876,0.013802294871196979,500.0,1.0
26,27.0,0.278,0.02057795432047471,500.0,1.0,0.922,0.013034939864575493,500.0,1.0
27,28.0,0.264,0.02018709318111079,500.0,1.0,0.922,0.012348234016289636,500.0,1.0
28,29.0,0.256,0.019773854152698056,500.0,1.0,0.942,0.01173147016692723,500.0,1.0
29,30.0,0.254,0.019297675236444194,500.0,1.0,0.95,0.011194412072879746,500.0,1.0
