,timepoint,infection_count,Std,N,Missing,Seroprev,Std,N,Missing
0,7,0.012,0.00370602647829499,500,1,0,0.00147818518873613,500,1
1,14,0.012,0.00389302351408983,500,1,0.004,0.0020501234333903,500,1
2,21,0.008,0.00410145568493082,500,1,0.004,0.00249604397793959,500,1
3,28,0.006,0.00415438068393797,500,1,0.002,0.00296240107340883,500,1
4,35,0.012,0.00458680629344959,500,1,0,0.0033188027480952,500,1
5,42,0.01,0.00480144252870843,500,1,0.01,0.00373636620747471,500,1
6,49,0.002,0.00487080567287985,500,1,0.01,0.00417040947831077,500,1
7,56,0.012,0.00501475600059334,500,1,0.012,0.00457932297152488,500,1
8,63,0.016,0.0054163755699988,500,1,0.01,0.00494262462463101,500,1
9,70,0.01,0.00571873863134984,500,1,0.018,0.00533331541282515,500,1
10,77,0.01,0.00600019586065402,500,1,0.024,0.00571557534567493,500,1
11,84,0.01,0.00627718290658188,500,1,0.022,0.00614670549604319,500,1
12,91,0.012,0.00664081925211501,500,1,0.016,0.00659605138758506,500,1
13,98,0.022,0.00688554680223349,500,1,0.014,0.00707688086490367,500,1
14,105,0.026,0.00709895408871297,500,1,0.038,0.0075383972380281,500,1
15,112,0.022,0.00745172847984564,500,1,0.02,0.00799504943588654,500,1
16,119,0.036,0.00763021198789495,500,1,0.04,0.00848276385258194,500,1
17,126,0.032,0.00803780969843869,500,1,0.032,0.00894747562647139,500,1
18,133,0.034,0.00847630880789199,500,1,0.038,0.009425530840009,500,1
19,140,0.058,0.00880795577181373,500,1,0.04,0.00993049556635179,500,1
20,147,0.042,0.00924770334578796,500,1,0.07,0.0104396456023696,500,1
21,154,0.05,0.00967492052467033,500,1,0.052,0.0109638548266041,500,1
22,161,0.058,0.0100856043920439,500,1,0.056,0.0114861378493486,500,1
23,168,0.038,0.0104724283708463,500,1,0.092,0.0120249829226553,500,1
24,175,0.056,0.0108886624995377,500,1,0.084,0.0125627687443733,500,1
25,182,0.048,0.0112918625740697,500,1,0.104,0.0131201478587784,500,1
26,189,0.088,0.011639223541573,500,1,0.1,0.0136929490478598,500,1
27,196,0.072,0.0119670472255108,500,1,0.088,0.0142550374298498,500,1
28,203,0.108,0.0123467593360012,500,1,0.122,0.0148128835831035,500,1
29,210,0.102,0.0126759996705746,500,1,0.13,0.0153667116995977,500,1
30,217,0.09,0.0129253372624072,500,1,0.162,0.015912023470689,500,1
31,224,0.082,0.0131474585124363,500,1,0.162,0.016454273662088,500,1
32,231,0.094,0.0134204174151307,500,1,0.166,0.0169620057248841,500,1
33,238,0.096,0.0135407661699063,500,1,0.204,0.0174674245892555,500,1
34,245,0.092,0.0137161606632497,500,1,0.204,0.0179396819709002,500,1
35,252,0.104,0.0139658513434551,500,1,0.224,0.0183707745602908,500,1
36,259,0.11,0.0143695279937205,500,1,0.198,0.018786984007762,500,1
37,266,0.094,0.0144861768712145,500,1,0.226,0.0192090299188692,500,1
38,273,0.104,0.0146221231628354,500,1,0.246,0.0195917468765494,500,1
39,280,0.116,0.0147725107235119,500,1,0.29,0.0199485077432545,500,1
40,287,0.116,0.0150762824398453,500,1,0.282,0.0202683647546332,500,1
41,294,0.112,0.0152858622385259,500,1,0.328,0.0205688036190859,500,1
42,301,0.128,0.0155629292655804,500,1,0.314,0.020847308662439,500,1
43,308,0.134,0.0159225373156041,500,1,0.31,0.0210993429659883,500,1
44,315,0.148,0.016239551912555,500,1,0.352,0.0213332035169646,500,1
45,322,0.154,0.0165342407509207,500,1,0.382,0.0215419306909189,500,1
46,329,0.166,0.0169537402083788,500,1,0.424,0.021728343762506,500,1
47,336,0.2,0.0173206571089207,500,1,0.408,0.0218943450434739,500,1
48,343,0.21,0.0177836743385088,500,1,0.414,0.0220363476880764,500,1
49,350,0.216,0.0182443919483131,500,1,0.442,0.0221540499892812,500,1
50,357,0.214,0.018695243506536,500,1,0.428,0.0222453550422291,500,1
51,364,0.234,0.0190647957986544,500,1,0.472,0.0223153589751757,500,1
52,371,0.264,0.0194656742984345,500,1,0.512,0.0223526754784693,500,1
53,378,0.262,0.0197643473185508,500,1,0.47,0.022359027560915,500,1
54,385,0.266,0.0200265170471127,500,1,0.528,0.0223313989991978,500,1
55,392,0.294,0.0202876025302869,500,1,0.514,0.0222693485830958,500,1
56,399,0.336,0.020433279480095,500,1,0.542,0.0221729269469351,500,1
