,timepoint,infection_count,Std,N,Missing,Seroprev,Std,N,Missing
0,7,0.006,0.00301519443886095,500,1,0,0.00183534217211384,500,1
1,14,0.002,0.00358872434017005,500,1,0.006,0.00273987333339797,500,1
2,21,0.006,0.00458152313196086,500,1,0.004,0.00362116817602047,500,1
3,28,0.02,0.00573951827047715,500,1,0.01,0.00478268837870297,500,1
4,35,0.018,0.00705197377114427,500,1,0.022,0.0061468093171517,500,1
5,42,0.036,0.00860284051839946,500,1,0.038,0.00774410849784717,500,1
6,49,0.07,0.010406626705841,500,1,0.038,0.00961098530843427,500,1
7,56,0.066,0.0123340734233596,500,1,0.066,0.011731537032345,500,1
8,63,0.138,0.0143185150407733,500,1,0.104,0.014036871940025,500,1
9,70,0.142,0.0160853997776592,500,1,0.174,0.0164694181809514,500,1
10,77,0.176,0.0175708970751918,500,1,0.252,0.0187045779196264,500,1
11,84,0.224,0.0185402520439603,500,1,0.296,0.0205593483748321,500,1
12,91,0.228,0.019043108596937,500,1,0.41,0.0217923997951091,500,1
13,98,0.244,0.019036126004741,500,1,0.466,0.022336432980937,500,1
14,105,0.228,0.0184613370032348,500,1,0.554,0.0221805928959751,500,1
15,112,0.178,0.0176144838501965,500,1,0.644,0.0214688289221119,500,1
16,119,0.168,0.01636073123826,500,1,0.706,0.0203851664863592,500,1
17,126,0.112,0.014897795855186,500,1,0.764,0.019143974857754,500,1
18,133,0.104,0.0133234526075653,500,1,0.782,0.0178880745493592,500,1
19,140,0.048,0.0116766682235117,500,1,0.824,0.0167181445225262,500,1
20,147,0.058,0.0100097061259757,500,1,0.85,0.0156951337911049,500,1
21,154,0.034,0.00861537724211451,500,1,0.878,0.014899978273092,500,1
22,161,0.018,0.00735280226480693,500,1,0.894,0.0142504331990362,500,1
23,168,0.018,0.00622097762473784,500,1,0.888,0.0137565432273518,500,1
24,175,0.006,0.00526655259959833,500,1,0.892,0.0133913147718813,500,1
25,182,0.004,0.0044434814614217,500,1,0.916,0.0131224245325401,500,1
26,189,0.016,0.00379456239702318,500,1,0.898,0.0129387461822796,500,1
27,196,0.006,0.00320665749927279,500,1,0.896,0.0127943993872745,500,1
28,203,0.002,0.00260838903304616,500,1,0.908,0.0126908760754504,500,1
29,210,0.002,0.00211623202486576,500,1,0.92,0.0126188387464928,500,1
30,217,0,0.00167792077049978,500,1,0.906,0.0125641500237175,500,1
31,224,0,0.00192045581631054,500,1,0.902,0.0125643701109858,500,1
32,231,0.002,0.00186650462126348,500,1,0.914,0.0125268234025816,500,1
33,238,0.002,0.00207156434252015,500,1,0.906,0.0125035982158419,500,1
34,245,0.002,0.0026155047383634,500,1,0.89,0.0124843939976645,500,1
35,252,0.004,0.00338002056555004,500,1,0.908,0.0124681232309565,500,1
36,259,0.002,0.0043467044130412,500,1,0.906,0.0124503188577456,500,1
37,266,0.02,0.00557731882076543,500,1,0.924,0.0124295842243988,500,1
38,273,0.024,0.00722737550212609,500,1,0.928,0.0123951356490443,500,1
39,280,0.04,0.00915743241715429,500,1,0.926,0.0123344217093482,500,1
40,287,0.058,0.0115468851366197,500,1,0.918,0.0122471632518719,500,1
41,294,0.112,0.0141359097097082,500,1,0.918,0.0120986921046577,500,1
42,301,0.16,0.0168163842352581,500,1,0.93,0.0118684603907704,500,1
43,308,0.228,0.0190250260956395,500,1,0.912,0.0115176098199102,500,1
44,315,0.302,0.0205899131884514,500,1,0.942,0.011015028341435,500,1
45,322,0.396,0.0214494843496429,500,1,0.964,0.0103958497591514,500,1
46,329,0.386,0.0216723158123975,500,1,0.952,0.00963367649369755,500,1
47,336,0.344,0.0215058285598884,500,1,0.97,0.00877547631670558,500,1
48,343,0.308,0.0209220573024476,500,1,0.968,0.00786633348484461,500,1
49,350,0.28,0.019867758875699,500,1,0.974,0.00699879825024231,500,1
50,357,0.264,0.0183660001854826,500,1,0.982,0.00615387818358276,500,1
51,364,0.186,0.016625155970121,500,1,0.982,0.0054252894946598,500,1
52,371,0.102,0.0146837828092859,500,1,0.986,0.00478583656882531,500,1
53,378,0.086,0.0127882602686576,500,1,0.992,0.00425781583347358,500,1
54,385,0.076,0.0110866601031774,500,1,0.994,0.00384250219657243,500,1
55,392,0.04,0.00944049052490992,500,1,0.996,0.00343688981346272,500,1
56,399,0.024,0.00797002907605869,500,1,0.988,0.00314342744795185,500,1
