Column1,timepoint,infection_count,Std,N,Missing,Seroprev,Std_1,N_1,Missing_1
3,28,-1.0,0.00415551052645879,500,1,0.01,0.00294296909665747,500,1
7,56,-1.0,0.00488180173455546,500,1,0.006,0.00448073915263075,500,1
9,70,-1.0,0.0055691622273808,500,1,0.012,0.0052290538815497,500,1
17,126,0.028,0.00829024689331256,500,1,-1.0,0.00887469644683406,500,1
27,196,-1.0,0.0118836687095425,500,1,-1.0,0.0142450013977491,500,1
32,231,-1.0,0.0129309795590035,500,1,0.172,0.0168762947889088,500,1
36,259,0.072,0.0138661523526512,500,1,0.25,0.0186473823213349,500,1
38,273,0.122,0.0142564010060033,500,1,0.264,0.019407062827957,500,1
40,287,-1.0,0.0146256028114658,500,1,0.274,0.0200843024345708,500,1
41,294,0.128,0.0149039437641802,500,1,0.308,0.0203905594005224,500,1
42,301,0.132,0.0150591881982082,500,1,0.304,0.0206795844841201,500,1
49,350,-1.0,0.0176457966975354,500,1,0.404,0.0220589213412771,500,1
