,timepoint,infection_count,Std,N,Missing,Seroprev,Std,N,Missing
2,21,0.008,0.00410145568493082,500,1,-1,0.00249604397793959,500,0
4,35,-1,0.00458680629344959,500,0,0,0.0033188027480952,500,1
5,42,0.01,0.00480144252870843,500,1,-1,0.00373636620747471,500,0
19,140,-1,0.00880795577181373,500,0,0.04,0.00993049556635179,500,1
21,154,0.05,0.00967492052467033,500,1,-1,0.0109638548266041,500,0
23,168,0.038,0.0104724283708463,500,1,0.092,0.0120249829226553,500,1
25,182,-1,0.0112918625740697,500,0,0.104,0.0131201478587784,500,1
29,210,0.102,0.0126759996705746,500,1,0.13,0.0153667116995977,500,1
33,238,0.096,0.0135407661699063,500,1,-1,0.0174674245892555,500,0
37,266,0.094,0.0144861768712145,500,1,0.226,0.0192090299188692,500,1
44,315,-1,0.016239551912555,500,0,0.352,0.0213332035169646,500,1
48,343,0.21,0.0177836743385088,500,1,0.414,0.0220363476880764,500,1
