,timepoint,infection_count,Std,N,Missing,Seroprev,Std,N,Missing
2,21,-1,0.00466492350647705,500,0,0.014,0.00375469302831017,500,1
11,84,0.252,0.0185499071016057,500,1,-1,0.0205654259571875,500,0
12,91,-1,0.0190275762145376,500,0,0.394,0.0218148136540527,500,1
14,105,-1,0.0184281474893169,500,0,0.616,0.0221688099880996,500,1
28,203,0.002,0.00261336852391037,500,1,-1,0.0127133957903985,500,0
31,224,-1,0.00197104330076395,500,0,0.926,0.0125908101581221,500,1
43,308,0.238,0.0187266079092308,500,1,-1,0.0116085732051943,500,0
45,322,0.334,0.0213808442710909,500,1,-1,0.0104971355413655,500,0
49,350,0.254,0.0200044428648139,500,1,-1,0.00704677267638866,500,0
54,385,0.078,0.0112897496813199,500,1,-1,0.00378985641696507,500,0
