,timepoint,infection count,Std,N,Missing,seroprev,std,N,Missing
0,10,0.008,0.00495112976458389,500,1,0.018,0.00810210690515613,500,1
1,20,0.01,0.0054150515110966,500,1,0.064,0.010963792053146,500,1
2,30,0.004,0.00552976499420614,500,1,0.094,0.0131487551817948,500,1
3,40,0.012,0.00538946242485507,500,1,0.15,0.0148162353676634,500,1
4,50,0.002,0.0050528527369568,500,1,0.14,0.0160331986923197,500,1
5,60,0.012,0.00464055511104895,500,1,0.186,0.0169274171236458,500,1
6,70,0.022,0.00417853814453621,500,1,0.206,0.0175886013244184,500,1
7,80,0.012,0.00374469504223244,500,1,0.242,0.0180478885963734,500,1
8,90,0,0.00343096205168524,500,1,0.226,0.018418485292057,500,1
9,100,0.01,0.00305482059395199,500,1,0.212,0.0186861945034736,500,1
